2023-07-23 23:00:40.808 [INFO] {9c9e8d6839877417940ab801b835225b} [DISCORD] Midjourney Bot MessageId: 1132684596710998157, MessageType: 0, MessageContent: **Coffee Shop --ar 16:9** - <@1097625793154256917> (fast)
2023-07-23 23:00:44.419 [INFO] {18c4d73f3a877417980ab8017d686027} [DISCORD] Midjourney Bot MessageId: 1132688755812216863, MessageType: 19, MessageContent: **Coffee Shop --ar 16:9** - Image #2 <@1097625793154256917>
2023-07-23 23:01:42.789 [INFO] {6887f2d647877417c30ab801da30001f} [DISCORD] Midjourney Bot MessageId: 1132685186228822127, MessageType: 0, MessageContent: **Cesuru, surprise, the seaside --ar 16:9** - <@1097625793154256917> (fast)
2023-07-23 23:01:46.779 [INFO] {303cb9c448877417c70ab8011be4e468} [DISCORD] Midjourney Bot MessageId: 1132689018748936242, MessageType: 19, MessageContent: **Cesuru, surprise, the seaside --ar 16:9** - Image #1 <@1097625793154256917>
2023-07-23 23:01:48.107 [INFO] {a01cf11349877417cb0ab801ac963643} [DISCORD] Midjourney Bot MessageId: 1132685186228822127, MessageType: 0, MessageContent: **Cesuru, surprise, the seaside --ar 16:9** - <@1097625793154256917> (fast)
2023-07-23 23:01:50.639 [INFO] {603fe0aa49877417cc0ab801bbca073a} [DISCORD] Midjourney Bot MessageId: 1132689035270291537, MessageType: 19, MessageContent: **Cesuru, surprise, the seaside --ar 16:9** - Image #4 <@1097625793154256917>
2023-07-23 23:22:08.360 [INFO] {944aa93065887417600eb80192ffbac3} [DISCORD] Midjourney Bot MessageId: 1132694141378236547, MessageType: 20, MessageContent: **Mona Lisa's hearty laughter --ar 16:9** - <@1097625793154256917> (Waiting to start)
2023-07-23 23:22:21.164 [INFO] {ac29e12b688874176a0eb801ff4e59c8} [DISCORD] Midjourney Bot MessageId: 1132694141378236547, MessageType: 20, MessageContent: **Mona Lisa's hearty laughter --ar 16:9** - <@1097625793154256917> (0%) (fast)
2023-07-23 23:22:27.257 [INFO] {94130c97698874176e0eb801a7621001} [DISCORD] Midjourney Bot MessageId: 1132694141378236547, MessageType: 20, MessageContent: **Mona Lisa's hearty laughter --ar 16:9** - <@1097625793154256917> (15%) (fast)
2023-07-23 23:22:33.411 [INFO] {d814cf056b887417750eb801bf2d160e} [DISCORD] Midjourney Bot MessageId: 1132694141378236547, MessageType: 20, MessageContent: **Mona Lisa's hearty laughter --ar 16:9** - <@1097625793154256917> (31%) (fast)
2023-07-23 23:22:38.587 [INFO] {c4c25e3a6c887417790eb8019fe43d07} [DISCORD] Midjourney Bot MessageId: 1132694141378236547, MessageType: 20, MessageContent: **Mona Lisa's hearty laughter --ar 16:9** - <@1097625793154256917> (46%) (fast)
2023-07-23 23:22:44.009 [INFO] {5c3d8a7d6d887417800eb8015d369697} [DISCORD] Midjourney Bot MessageId: 1132684762176295103, MessageType: 0, MessageContent: **Kites in the sky --ar 16:9** - <@1097625793154256917> (fast)
2023-07-23 23:22:44.010 [INFO] {d092937d6d887417810eb8017d012523} [DISCORD] Midjourney Bot MessageId: 1132684762176295103, MessageType: 0, MessageContent: **Kites in the sky --ar 16:9** - <@1097625793154256917> (fast)
2023-07-23 23:22:44.179 [INFO] {ccc9ab876d887417820eb8018c669b8c} [DISCORD] Midjourney Bot MessageId: 1132694141378236547, MessageType: 20, MessageContent: **Mona Lisa's hearty laughter --ar 16:9** - <@1097625793154256917> (62%) (fast)
2023-07-23 23:22:47.293 [INFO] {14fb4a416e887417830eb8013b2fc6d0} [DISCORD] Midjourney Bot MessageId: 1132694303777505440, MessageType: 19, MessageContent: **Kites in the sky --ar 16:9** - Image #1 <@1097625793154256917>
2023-07-23 23:22:47.587 [INFO] {78e3c9526e887417870eb80126d4ffdc} [DISCORD] Midjourney Bot MessageId: 1132694307137134592, MessageType: 19, MessageContent: **Kites in the sky --ar 16:9** - Image #4 <@1097625793154256917>
2023-07-23 23:22:50.177 [INFO] {e02a2aed6e887417880eb8017c7f3c8a} [DISCORD] Midjourney Bot MessageId: 1132694141378236547, MessageType: 20, MessageContent: **Mona Lisa's hearty laughter --ar 16:9** - <@1097625793154256917> (78%) (fast)
2023-07-23 23:22:57.169 [INFO] {0c05f08d708874178f0eb8016393d6f1} [DISCORD] Midjourney Bot MessageId: 1132694141378236547, MessageType: 20, MessageContent: **Mona Lisa's hearty laughter --ar 16:9** - <@1097625793154256917> (93%) (fast)
2023-07-23 23:23:00.917 [INFO] {dc724f6d71887417930eb8015dc0c7ae} [DISCORD] Midjourney Bot MessageId: 1132694363265302548, MessageType: 0, MessageContent: **Mona Lisa's hearty laughter --ar 16:9** - <@1097625793154256917> (fast)
2023-07-23 23:26:06.534 [INFO] {28a7f3a49c8874171e0fb80195d0cdf8} [DISCORD] Midjourney Bot MessageId: 1132695141405184152, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (Waiting to start)
2023-07-23 23:26:16.215 [INFO] {506600e69e887417280fb8019fc07643} [DISCORD] Midjourney Bot MessageId: 1132695141405184152, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (0%) (fast)
2023-07-23 23:26:25.745 [INFO] {4c73081ea18874172f0fb80107200335} [DISCORD] Midjourney Bot MessageId: 1132695141405184152, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (15%) (fast)
2023-07-23 23:26:35.863 [INFO] {6cbd1879a3887417390fb801ac062ba3} [DISCORD] Midjourney Bot MessageId: 1132695141405184152, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (31%) (fast)
2023-07-23 23:26:35.864 [INFO] {4c842179a38874173a0fb80177162a1f} [DISCORD] Midjourney Bot MessageId: 1132695262687662080, MessageType: 20, MessageContent: **The big smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (Waiting to start)
2023-07-23 23:26:39.654 [INFO] {dcb0ff5aa48874173e0fb8016ddf00e0} [DISCORD] Midjourney Bot MessageId: 1132695141405184152, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (46%) (fast)
2023-07-23 23:26:47.461 [INFO] {a479552ca6887417450fb801d93fd2ef} [DISCORD] Midjourney Bot MessageId: 1132695141405184152, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (62%) (fast)
2023-07-23 23:26:55.595 [INFO] {8c3f3411a88874174c0fb801ad9b4674} [DISCORD] Midjourney Bot MessageId: 1132695141405184152, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (78%) (fast)
